participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.visited,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,introduction_app.1.player.id_in_group,introduction_app.1.player.ability_to_lie,introduction_app.1.player.ability_to_detect_lies,introduction_app.1.player.payoff,introduction_app.1.group.id_in_subsession,introduction_app.1.subsession.round_number,demographics_app.1.player.id_in_group,demographics_app.1.player.gender,demographics_app.1.player.age,demographics_app.1.player.education,demographics_app.1.player.political_beliefs,demographics_app.1.player.comments,demographics_app.1.player.payoff,demographics_app.1.group.id_in_subsession,demographics_app.1.subsession.round_number
1,5e017hfb,NA,0,366,365,demographics_app,completion_code,1,4,7,qwyowsv5,NA,NA,0,1,3,1,0.9,0.75,0,1,1,1,Man,32,"Completed advanced University/College degree (Masters, PhD...)",-30,None.,0,1,1
2,ypvg2u66,NA,0,366,365,demographics_app,completion_code,1,3,6,qwyowsv5,NA,NA,0,1,3,2,0.75,0.4,0,1,1,2,Man,21,Completed secondary school/high school,28,,0,1,1
3,vp8atvt1,NA,0,366,365,demographics_app,completion_code,1,5,8,qwyowsv5,NA,NA,0,1,3,3,0.71,0.97,0,1,1,3,Woman,30,Completed undergraduate University/College degree,-39,,0,1,1
4,5y50c006,NA,0,366,365,demographics_app,completion_code,1,4,7,qwyowsv5,NA,NA,0,1,3,4,0.95,0.23,0,1,1,4,Woman,58,Completed secondary school/high school,30,,0,1,1
5,tqwt671t,NA,0,363,365,demographics_app,summary_page,1,4,7,qwyowsv5,NA,NA,0,1,3,5,0.8,0.7,0,1,1,5,,NA,,NA,,0,1,1
6,lqu28rjs,NA,0,366,365,demographics_app,completion_code,1,5,8,qwyowsv5,NA,NA,0,1,3,6,0.09,0.23,0,1,1,6,Man,28,Completed undergraduate University/College degree,40,"no technical issues, it all worked well.",0,1,1
7,oxnr974n,NA,0,366,365,demographics_app,completion_code,1,4,7,qwyowsv5,NA,NA,0,1,3,7,1,1,0,1,1,7,Man,33,Completed undergraduate University/College degree,50,,0,1,1
8,xb4mz9rs,NA,0,366,365,demographics_app,completion_code,1,5,8,qwyowsv5,NA,NA,0,1,3,8,0,0.86,0,1,1,8,Woman,27,Completed undergraduate University/College degree,-9,good,0,1,1
9,aci2zdda,NA,0,366,365,demographics_app,completion_code,1,3,6,qwyowsv5,NA,NA,0,1,3,9,0.3,0.8,0,1,1,9,Man,63,Completed undergraduate University/College degree,-20,"Real good deal and great pay, lots of fun too. Hard to figure out that last person. Much easier when I was the seller. It's easier to convince others than wonder if they are telling the truth. Thank you.",0,1,1
10,uii4jglm,NA,0,366,365,demographics_app,completion_code,1,1,4,qwyowsv5,NA,NA,0,1,3,10,0.98,0.66,0,1,1,10,Man,28,Completed undergraduate University/College degree,45,awesome,0,1,1
